Lead Name,Dedicated Channel,Channel Score,Contact Info,Company Size,Industry,Job Title,Multi- Channel Eligible,Campaign Priority,Expected Response Rate
AI_Scout_Official,calling,40,,Small-Medium,Technology,I run an AI tools directory. Here are my top picks for AI-powered digital marketing tools (that aren't just wrappers for GPT),No,Low,1-5%
AutoModerator,calling,25,,Small-Medium,Technology,,No,Low,1-5%
SpicyCopy,email,30,,Small-Medium,Technology,I tested hundreds of marketing tools in the last three years and these 50 made it to the list. I'll sum up my top 50 marketing tools with one or two sentences + give you pricings.,No,Low,1-5%
b8ne,calling,25,,Small-Medium,Technology,,No,Low,1-5%
[deleted],calling,25,,Small-Medium,Technology,,No,Low,1-5%
ZaneSeb,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Flick__This,calling,25,,Small-Medium,Technology,,No,Low,1-5%
ssmihailovitch,calling,25,,Small-Medium,Technology,,No,Low,1-5%
nphonwheels,calling,25,,Small-Medium,Technology,,No,Low,1-5%
AwfullyWaffley,calling,25,,Small-Medium,Technology,,No,Low,1-5%
raw-power,calling,25,,Small-Medium,Technology,,No,Low,1-5%
AmoralCarapace,calling,25,,Small-Medium,Technology,,No,Low,1-5%
hakbar27,calling,25,,Small-Medium,Technology,,No,Low,1-5%
hkimia,calling,25,,Small-Medium,Technology,,No,Low,1-5%
TheAIMafia,calling,25,,Small-Medium,Technology,,No,Low,1-5%
watermelonlover18,calling,25,,Small-Medium,Technology,,No,Low,1-5%
more_load_comments,calling,25,,Small-Medium,Technology,,No,Low,1-5%
incrediwoah,calling,25,,Small-Medium,Technology,,No,Low,1-5%
kimk2,calling,25,,Small-Medium,Technology,,No,Low,1-5%
zanedow,calling,25,,Small-Medium,Technology,,No,Low,1-5%
dysplasticteeth,calling,25,,Small-Medium,Technology,,No,Low,1-5%
mrRandomGuy02,calling,25,,Small-Medium,Technology,,No,Low,1-5%
brightstar9,calling,25,,Small-Medium,Technology,,No,Low,1-5%
jayn35,calling,25,,Small-Medium,Technology,,No,Low,1-5%
nicooa,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Xoshua,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Bluesky4meandu,calling,25,,Small-Medium,Technology,,No,Low,1-5%
dogandpwny,calling,25,,Small-Medium,Technology,,No,Low,1-5%
mrrooftops,calling,25,,Small-Medium,Technology,,No,Low,1-5%
jde82,calling,25,,Small-Medium,Technology,,No,Low,1-5%
blokus-sk,calling,25,,Small-Medium,Technology,,No,Low,1-5%
futebollounge,calling,25,,Small-Medium,Technology,,No,Low,1-5%
hotr42,calling,25,,Small-Medium,Technology,,No,Low,1-5%
evil666overlord,calling,25,,Small-Medium,Technology,,No,Low,1-5%
CoCGamer,calling,25,,Small-Medium,Technology,,No,Low,1-5%
spacecanman,email,30,,Small-Medium,Technology,15 marketing tools I use almost every single day and why,No,Low,1-5%
RrentTreznor,calling,25,,Small-Medium,Technology,,No,Low,1-5%
agree-with-you,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Andrre3000,calling,25,,Small-Medium,Technology,,No,Low,1-5%
bobbybal_f,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Bernafterpostinggg,calling,25,,Small-Medium,Technology,,No,Low,1-5%
jakeinmn,calling,25,,Small-Medium,Technology,,No,Low,1-5%
kb32145,calling,25,,Small-Medium,Technology,,No,Low,1-5%
parth_1802,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Hackative,calling,25,,Small-Medium,Technology,,No,Low,1-5%
seanbain1965,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Los_Cairos,calling,25,,Small-Medium,Technology,,No,Low,1-5%
eightants,calling,25,,Small-Medium,Technology,,No,Low,1-5%
PleasantSubject2759,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Livgeet,calling,25,,Small-Medium,Technology,,No,Low,1-5%
charlesmccarthyufc,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Sebeck,calling,25,,Small-Medium,Technology,,No,Low,1-5%
tuanaldo,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Coley-OleY,calling,25,,Small-Medium,Technology,,No,Low,1-5%
crokdent,calling,25,,Small-Medium,Technology,,No,Low,1-5%
beginners-blog,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Mysentimentexactly,calling,25,,Small-Medium,Technology,,No,Low,1-5%
abeikuforson9,calling,25,,Small-Medium,Technology,,No,Low,1-5%
ellenow,calling,25,,Small-Medium,Technology,,No,Low,1-5%
Zion-YellowDragon,calling,25,,Small-Medium,Technology,,No,Low,1-5%
,linkedin,45,https://fr.linkedin.com/posts/crowdstrike_r%C3%A9sum%C3%A9-du-global-threat-report-2025-de-crowdstrike-activity-7315786268276088834-K21c,Small-Medium,Technology,Informations inégalées sur l'évolution actuelle des cybermenaces.,No,Low,1-5%
,linkedin,65,https://fr.linkedin.com/posts/eddysnoussi_donnez-moi-un-arr%C3%AAt-maladie-bordel-cest-activity-7343915475279511554-ieqj,Small-Medium,Technology,DONNEZ MOI UN ARRÊT MALADIE.,No,Low,5-10%
,linkedin,50,https://fr.linkedin.com/posts/les-echos_comment-notre-mobilit%C3%A9-a-t-elle-%C3%A9volu%C3%A9-en-activity-7346779882929987584-DLJg,Small-Medium,Technology,Comment notre mobilité a-t-elle évolué en 200 ans ?,No,Low,1-5%
,linkedin,65,https://fr.linkedin.com/posts/emer-desay-5727841b8_academieoutboundemer2pdf-activity-7346467745028354048-SDCX,Small-Medium,Technology,"Créer des campagnes de prospection, ça semble facile : créer une adresse email, souscrire un outil, envoyer.",No,Low,5-10%